Lake_ID,Lake_name,real_name,DNAsampleID,NVE_number,Longitude,Latitude,Altitude,sample_date,lake_temp,pH,conductivity,alkalinity,Ar (ppm),O2 (ppm),N2 (ppm),CO2 (ppm),CH4 (ppm),N2O (ppm),Ar (ppm/h),O2 (ppm/h),N2 (ppm/h),CO2 (ppm/h),CH4 (ppm/h),N2O (ppm/h),TOC,DOC,TN,DN,TOTP,DP,DNA_conc,filtered_vol
13617,Steinsrudtjern,Steinsrudtjern,L12,5505,10.86768,59.822163,,,0.2,6.91,191.5,1.172,0.00,0.00,0.00,5281.37,2.46,0.09,0.11,-35.88,-77.81,34.97,-0.01,0.00,,,,,,,6.68,300
13763,Langtjern,Langtjern,L42,7272,9.726841,60.372278,,,1.9,5.03,27.6,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,3.74,550
SV001,Hotelnesset,Hotelnesset,SV001,,78.2495,15.4914,1,08/07/2019,12.2,NA,NA,,,,,,,,,,,,,,2.878,4.032,0.305,0.319,9,7,12.3,
SV002,Isdammen,Isdammen,SV002,,78.2157,15.7202,1,08/07/2025,10.2,NA,NA,,,,,,,,,,,,,,2.93,3.33,0.022,0.054,3,3,9.36,
SV003,West_East,West_East,SV003,,78.219,15.6961,1,08/07/2019,10.9,NA,NA,,,,,,,,,,,,,,1.831,3.555,0.424,0.337,16,8,94,
SV004,Gruve7,Gruve7,SV004,,78.1567,16.0327,400,08/07/2019,9.4,NA,NA,,,,,,,,,,,,,,0.527,2.412,0.036,NA,2,2,5.78,
SV005,Tvillingvatten,Tvillingvatten,SV005,,78.9159,11.8755,33,08/08/2019,9.8,7.82,181.6,,,,,,,,,,,,,,15.22,3.295,0.046,0.052,2,2,11.2,
SV006,Storvatnet,Storvatnet,SV006,,78.9239,11.8783,30,08/09/2019,9,8.18,194.3,,,,,,,,,,,,,,3.891,10.84,0.3213,0.348,2,2,14.7,
SV007,Solvatnet,Solvatnet,SV007,,78.9258,11.9405,2,08/08/2019,14.8,8.25,332,,,,,,,,,,,,,,7.739,8.607,0.815,0.884,19,9,11.8,
SV008,Brandallaguna,Brandallaguna,SV008,,78.9442,11.8631,1,08/09/2019,9.9,9.01,299,,,,,,,,,,,,,,2.578,4.546,0.201,0.279,9,2,14.1,
SV010,Knudsenheia1,Knudsenheia1,SV010,,78.942,11.821,26,08/08/2019,8.5,8.44,239,,,,,,,,,,,,,,5.059,6.482,0.359,0.426,11,<2,8.18,
SV011,Lovenbreendalen5,Lovenbreendalen5,SV011,,78.8959,12.064,46,08/11/2019,5.2,6.78,16.5,,,,,,,,,,,,,,1.591,1.941,0.006,0.01,3,<2,5.96,
SV012,Goosepond,Goose pond,SV012,,78.9258,11.9231,3,08/08/2019,6.2,8.71,244,,,,,,,,,,,,,,3.964,11.18,0.24,0.317,3,<2,8.96,
SV013,Permafrostpond,Permafrostpond,SV013,,78.9261,11.3205,3,08/08/2019,2.8,7.59,468,,,,,,,,,,,,,,2.169,2.217,0.273,0.164,9,2,48,
SV014,Broggerdalen1,Broggerdalen1,SV014,,78.9132,11.8403,50,08/09/2019,9.2,7.93,208,,,,,,,,,,,,,,6.702,1.333,0.048,0.072,<2,<2,8.2,
