"Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"203" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"204" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" "Tintinnopsis"
"205" "Eukaryota" "Holozoa_ph" "Choanoflagellida" "Codonosigidae" "Codonosigidae_fa" "Monosiga"
"206" "Eukaryota" "Chlorophyta_ph" "Trebouxiophyceae" NA NA NA
"207" "Eukaryota" "Chlorophyta_ph" "Chlorophyceae" NA NA NA
"208" "Eukaryota" "Dinoflagellata" "Dinophyceae" NA NA NA
"209" "Eukaryota" NA NA NA NA NA
"210" "Eukaryota" "Chlorophyta_ph" "Chlorophyceae" NA NA NA
"211" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" NA
"212" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Oligotrichia" NA
"213" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"214" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chrysocapsales" "Chrysocapsales_fa" "Chrysocapsa"
"215" "Eukaryota" "Arthropoda" "Maxillopoda" "Cyclopoida" NA NA
"216" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" "Cryptocaryon"
"217" "Eukaryota" "Kathablepharidae" "Kathablepharidae_cl" "Kathablepharidae_or" "Kathablepharidae_fa" "Leucocryptos"
"218" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Teleaulax"
"219" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"220" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Ochromonadales" "Ochromonadales_fa" "Paraphysomonas"
"221" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Oligohymenophorea" NA
"222" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"223" "Eukaryota" "Diatomea" "Coscinodiscophytina_cl" "Fragilariales" "Fragilariales_fa" "Licmophora"
"224" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" NA NA
"225" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"226" "Eukaryota" "Chlorophyta_ph" "Chlorophyceae" NA NA NA
"227" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Suessiaceae" "Symbiodinium"
"228" "Eukaryota" "Dinoflagellata" NA NA NA NA
"229" "Eukaryota" "Chlorophyta_ph" "Chlorophyceae" NA NA NA
"230" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Phyllopharyngea" "Tokophrya"
"231" "Eukaryota" "Ciliophora" "Intramacronucleata" "Litostomatea" "Haptoria" "Dileptus"
"232" "Eukaryota" "Ochrophyta_ph" "Ochrophyta_cl" "Ochrophyta_or" "Ochrophyta_fa" "Bolidomonas"
"233" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" NA NA
"234" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" NA
"235" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Suessiaceae" "Biecheleria"
"236" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"237" "Eukaryota" NA NA NA NA NA
"238" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"239" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Mallomonas"
"240" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" NA
"241" "Eukaryota" "Ciliophora" "Intramacronucleata" "Litostomatea" "Haptoria" NA
"242" "Eukaryota" "Rotifera" "Monogononta" "Ploimida" NA NA
"243" "Eukaryota" "Chlorophyta_ph" "Chlorophyceae" NA NA NA
"244" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"245" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Ochromonadales" "Ochromonadales_fa" "Dinobryon"
"246" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" NA
"247" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Ochromonadales" "Ochromonadales_fa" "Epipyxis"
"248" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" "Cryptocaryon"
"249" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" "Uroglena"
"250" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"251" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"252" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Oligotrichia" NA
"253" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"254" "Eukaryota" "Diatomea" "Mediophyceae" "Mediophyceae_or" "Mediophyceae_fa" "Thalassiosira"
"255" "Eukaryota" NA NA NA NA NA
"256" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" NA
"257" "Eukaryota" NA NA NA NA NA
"258" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" NA NA
"259" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Oligohymenophorea" "Zoothamnium"
"260" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"261" "Eukaryota" "Chlorophyta_ph" "Chlorophyceae" NA NA NA
"262" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" NA
"263" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"264" "Eukaryota" NA NA NA NA NA
"265" "Eukaryota" "Dinoflagellata" "Dinophyceae" NA NA NA
"266" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"267" "Eukaryota" "Ochrophyta_ph" "Dictyochophyceae" "Pedinellales" NA NA
"268" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"269" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" NA NA
"270" "Eukaryota" NA NA NA NA NA
"271" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" NA
