"","input","filtered","merged","final"
"35_S33_L001_R1_001.fastq.gz",65811,36341,23759,23735
"36_S34_L001_R1_001.fastq.gz",91670,52293,30935,30873
"37_S35_L001_R1_001.fastq.gz",89497,50289,34132,34132
"38_S36_L001_R1_001.fastq.gz",84270,48744,33349,33349
"39_S37_L001_R1_001.fastq.gz",70970,38596,19214,19214
"4_S4_L001_R1_001.fastq.gz",93306,50807,24977,24636
"40_S38_L001_R1_001.fastq.gz",53706,28784,13092,13052
"41_S39_L001_R1_001.fastq.gz",81948,46697,32284,31852
"42_S40_L001_R1_001.fastq.gz",77167,40752,25267,25267
"43_S41_L001_R1_001.fastq.gz",75126,42508,24475,24322
"44_S42_L001_R1_001.fastq.gz",65466,36745,18209,18209
"45_S43_L001_R1_001.fastq.gz",63986,36133,24238,24237
"46_S44_L001_R1_001.fastq.gz",70385,41353,34557,33961
"47_S45_L001_R1_001.fastq.gz",63175,35032,22588,22588
"48_S46_L001_R1_001.fastq.gz",67481,37467,23997,23838
"49_S47_L001_R1_001.fastq.gz",68796,38502,22089,22089
"5_S5_L001_R1_001.fastq.gz",92476,47651,20950,20950
"50_S48_L001_R1_001.fastq.gz",67371,37425,29024,29024
"51_S49_L001_R1_001.fastq.gz",71256,39848,23454,23373
"52_S50_L001_R1_001.fastq.gz",74420,43017,33268,33268
"53_S51_L001_R1_001.fastq.gz",79845,44670,30588,30588
"54_S52_L001_R1_001.fastq.gz",90775,53931,34423,31994
"55_S53_L001_R1_001.fastq.gz",68543,38726,32902,32902
"56_S54_L001_R1_001.fastq.gz",69344,38913,25365,25365
"57_S55_L001_R1_001.fastq.gz",87611,51331,33700,33255
"58_S56_L001_R1_001.fastq.gz",72708,39428,23575,23575
"59_S57_L001_R1_001.fastq.gz",67420,36712,26234,25895
"6_S6_L001_R1_001.fastq.gz",86653,47792,34871,34061
"60_S58_L001_R1_001.fastq.gz",69456,38856,30210,30208
"61_S59_L001_R1_001.fastq.gz",68201,37486,24933,24878
"62_S60_L001_R1_001.fastq.gz",76360,43568,28391,28391
"63_S61_L001_R1_001.fastq.gz",72589,39607,23510,23444
"64_S62_L001_R1_001.fastq.gz",58950,31277,18880,18880
"65_S63_L001_R1_001.fastq.gz",63403,34744,21860,21851
"66_S64_L001_R1_001.fastq.gz",70592,37426,18549,18488
"67_S65_L001_R1_001.fastq.gz",62239,33343,19165,19153
"69_S66_L001_R1_001.fastq.gz",71105,41084,30664,30664
