"Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"187" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Peridiniales" "Peridiniales_fa" "Peridinium"
"188" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Mallomonas"
"189" "Eukaryota" "Rotifera" "Monogononta" "Ploimida" NA NA
"190" "Eukaryota" "Arthropoda" "Ostracoda" "Podocopida" NA NA
"191" "Eukaryota" "Dinoflagellata" "Dinophyceae" NA NA NA
"192" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"193" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"194" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"195" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" NA
"196" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Oligohymenophorea" "Stokesia"
"197" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"198" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"199" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Mallomonas"
"200" "Eukaryota" NA NA NA NA NA
"201" "Eukaryota" NA NA NA NA NA
"202" "Eukaryota" "Dinoflagellata" "Dinophyceae" NA NA NA
"203" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" "Tintinnopsis"
"204" "Eukaryota" "Chytridiomycota" "Chytridiomycetes" "Rhizophydiales" NA NA
"205" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Mallomonas"
"206" "Eukaryota" "Platyhelminthes" "Catenulida" "Catenulida_or" "Stenostomidae" NA
"207" "Eukaryota" "Arthropoda" "Branchiopoda" "Diplostraca" NA NA
"208" "Eukaryota" "Arthropoda" "Branchiopoda" "Diplostraca" NA NA
"209" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Synura"
"210" "Eukaryota" "Basidiomycota" "Tremellomycetes" "Filobasidiales" "Filobasidiaceae" "Filobasidium"
"211" "Eukaryota" "Ascomycota" "Dothideomycetes" NA NA NA
"212" "Eukaryota" NA NA NA NA NA
"213" "Eukaryota" "Bicosoecida" "Bicosoecida_cl" "Bicosoecida_or" "Bicosoecida_fa" "Bicosoeca"
"214" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"215" "Eukaryota" "Chytridiomycota" "Chytridiomycetes" "Rhizophydiales" "Kappamycetaceae" NA
"216" "Eukaryota" "Phragmoplastophyta" NA NA NA NA
"217" "Eukaryota" "Diatomea" "Coscinodiscophytina_cl" "Coscinodiscophytina_or" "Melosirids" "Aulacoseira"
"218" "Eukaryota" "Ochrophyta_ph" "Dictyochophyceae" "Pedinellales" NA NA
"219" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"220" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" "Cryptocaryon"
"221" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" "Chrysamoeba"
"222" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gonyaulacales" "Gonyaulacales_fa" "Ceratium"
"223" "Eukaryota" "Ciliophora" "Intramacronucleata" "Litostomatea" "Haptoria" "Arcuospathidium"
"224" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" "Cryptocaryon"
"225" "Eukaryota" NA NA NA NA NA
"226" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"227" "Eukaryota" "Cercozoa" "Thecofilosea" "Cryomonadida" "Rhizaspididae" "Rhogostoma"
"228" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Suessiaceae" "Symbiodinium"
"229" "Eukaryota" "Ciliophora" "Intramacronucleata" "Litostomatea" "Haptoria" "Arcuospathidium"
"230" "Eukaryota" "Ciliophora" "Intramacronucleata" "Litostomatea" "Haptoria" NA
"231" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"232" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Hypotrichia" "Halteria"
"233" "Eukaryota" "Cercozoa" "Granofilosea" "Granofilosea_or" "Granofilosea_fa" "Massisteria"
"234" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Hypotrichia" "Halteria"
"235" "Eukaryota" NA NA NA NA NA
"236" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Teleaulax"
"237" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"238" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" NA
"239" "Eukaryota" NA NA NA NA NA
"240" "Eukaryota" "Bicosoecida" "Bicosoecida_cl" "Bicosoecida_or" "Bicosoecida_fa" "Bicosoeca"
"241" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" NA NA
"242" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "P34.45" NA NA
"243" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Hypotrichia" NA
"244" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"245" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"246" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"247" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"248" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"249" "Eukaryota" "Phragmoplastophyta" "Embryophyta" NA NA NA
